name,review
sergio d'souza,"No fresh fish on Monday and Tuesday, we as a  family visited, no major fish dishes like bombil, teesra ect. Solkadi was not upto the mark. Standard has gone down, compared to our last visit"
narendra jadhav,Its worst experience it is not malavani food sarvice is poor and also miss bevihar staff nott good suggested not this restaurant its gobar
V R,Tried out bombil fry no flavours at all just dipped in rawa and deep fried surmai tawa fry thali was better as well as the chicken sukka thali
Swaps G,"The taste here, I know, is amazing but the wait times are too much at peak. 45 mins of queue to just to enter and another 15 mins just to place the order. It's already been more than an hour and I am still not sure how long it will be before food is served."
sanika khot,"The food here is fantastic they serveauthentic Malvani cuisine.
Must try are their thaalis and prawns fry."
Deepak Poojari,"I had visited Hotel Malvan after a long time. This time I really did not like the quality of the food. I tried bombil fry but it was totally not up to the mark...it was very oily and size were also too small. I ordered 1 chicken thali it was average not that great. Ordered extra bhakri it was soft but it was already prepared and warm.

You can try here thalis which are quite affordable. Drinks are severed here."
Aditya Tawade,"This restaurant offers some of the best-tasting seafood and chicken/mutton dishes that are truly unmatched. The service is excellent, and the atmosphere is both beautiful and inviting."
Vinit Kale,"Good food, also you can order alcohol. Family friendly place, not a quite place, people are always on the top of their voice. Not the staff but people who are having dinner.

Coming to food, the thali options are good. Mutton thali is especially good, tho this place is known for fish specialities.

Overall good place, parking can be a issue. Waiting times are approximately 15-20 minutes."
Dilip Bhogale,"Awesome Food... Authentic Malvani food served here....Fish served fresh and nicely prepared..We have tried Fried Prawns, Surmai Tawa Fry, Pomfret Tawa Fry, Bombil Tawa Fry, Halwa fry, Rawas Curry, Solkadi... everything is exceptional in terms of taste, presentation and most importantly value for money..."
aniket gawade,"If you crave for good thalis , malvan is your place.
Fish is fresh .
Order sukka chicken thali, fish thali.
Their kolambhi bhaat is great.
Service is top notch
It is crowdy on weekends so try and go early ."
superstar nikhyl,Sea food restaurant with bar. Authentic malvani cuisine. Food quality and taste is good.
Nikhil Kongo,Still one of the best places to enjoy malavani food in thane. Surmai tawa fry is all time favorite. Also bombil fry is must try. I also like bheja fry.This is a popular eatery in thane. Mostly crowded on weekends and Wednesday.Must visit
